SMILES,Name,pIC50,IC50,mol,mw,logp,hbd,hba,max_ring_size,ro5_ok
CNC(=O)N1CCC(CC1)C2c3c(c4ccccc4[nH]3)CC(N2)c5[nH]cc(n5)c6ccccc6,CHEMBL2069513,6.62,0.239883291901949,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6ff0>,454.24810958000006,4.537500000000003,4,7,6,True
c1ccc(cc1)CN2CCN(CC2)Cc3nc(no3)c4ccccc4,CHEMBL2069921,4.9,12.589254117941662,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f7060>,334.179361324,3.054400000000002,0,5,6,True
c1ccc(cc1)CN2CCN(CC2)Cc3nnc(o3)c4ccccc4,CHEMBL1504335,4.56,27.54228703338169,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f70d0>,334.179361324,3.054400000000002,0,5,6,True
CN(Cc1[nH]c(=O)c2ccccc2n1)Cc3nc(no3)c4ccccc4,CHEMBL2069922,4.58,26.302679918953814,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f7140>,347.138224784,2.605100000000001,1,7,6,True
c1ccc(cc1)c2nc(on2)CN3CCN(CC3)Cc4nc5ccccc5s4,CHEMBL2069924,4.89,12.88249551693135,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f71b0>,391.14668129200004,3.664100000000003,0,6,6,True
c1ccc(cc1)c2nnc(o2)CN3CCN(CC3)Cc4nc5ccccc5s4,CHEMBL2069925,4.52,30.199517204020193,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f7220>,391.14668129200004,3.664100000000003,0,6,6,True
CC(c1nc(on1)c2cccc(c2)Cl)Oc3nnc(n3C)c4ccncc4,CHEMBL2069926,4.94,11.481536214968818,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f7290>,382.09450140000007,3.720500000000002,0,8,6,True
CC(c1nnc(o1)c2cccc(c2)Cl)Oc3nnc(n3C)c4ccncc4,CHEMBL2069927,4.67,21.379620895022324,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f7300>,382.09450140000007,3.720500000000002,0,8,6,True
c1cc(cnc1)c2ccc(o2)c3nc(on3)C4CN5CCC4CC5,CHEMBL2069928,5.19,6.456542290346549,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f7370>,322.142975816,3.200800000000001,0,6,6,True
c1cc(cnc1)c2ccc(o2)c3nnc(o3)C4CN5CCC4CC5,CHEMBL2069929,4.7,19.952623149688787,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f73e0>,322.142975816,3.200800000000001,0,6,6,True
CCOC(=O)N1CCN(CC1)Cc2nc(on2)c3cc(ccc3F)Cl,CHEMBL2069930,4.51,30.902954325135923,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f7450>,368.10514633599996,2.8032000000000012,0,7,6,True
CCOC(=O)N1CCN(CC1)Cc2nc(no2)c3cccc(c3)Cl,CHEMBL1716297,4.81,15.488166189124827,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f74c0>,350.114568148,2.6641000000000004,0,7,6,True
